#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1810.0000001393707,-36183.53940169586,10912.383967739455,-25271.155433956403,291.4054306181215,14.9
1820.000000141408,-36337.55210466319,10922.66906594071,-25414.88303872248,291.975476299359,14.9
1830.0000001434453,-36909.43546607436,11271.708941673056,-25637.726524401307,301.05177421591435,14.9
1840.0000001454825,-37076.3013362061,11208.888034624973,-25867.41330158113,298.8699122143036,14.9
1850.0000001475198,-36794.19788551269,11333.92192445772,-25460.27596105497,303.0298229308218,14.9
1860.000000149557,-36766.432760363976,11250.624074266509,-25515.808686097465,300.47904893619466,14.9
1870.0000001515943,-36976.175110518765,11281.462965961444,-25694.71214455732,301.308326898717,14.9
1880.0000001536316,-36600.68734554561,11117.714246664964,-25482.973098880644,295.8781992153235,14.9
1890.0000001556689,-36371.980756258985,11009.052495241971,-25362.928261017012,294.6168644140115,14.9
1900.0000001577062,-36633.46324891095,11136.12245392969,-25497.34079498126,296.74453006212616,14.9
1910.0000001597434,-36653.74507139223,11060.389489294714,-25593.355582097516,294.9358210330786,14.9
1920.0000001617807,-36623.22708169067,11473.693197582388,-25149.533884108278,305.6104488580417,14.9
1930.000000163818,-36693.97304046061,11078.781465810336,-25615.19157465027,296.1149893631251,14.9
1940.0000001658552,-36509.01291197851,11167.050867986069,-25341.962043992444,298.1214728874184,14.9
1950.0000001678925,-36462.2146809591,11125.7316709278,-25336.483010031297,295.9959885086101,14.9
1960.0000001699298,-36552.586167691974,10957.933460405362,-25594.652707286612,293.01958443246235,14.9
1970.000000171967,-36750.31019867342,11032.939515250115,-25717.3706834233,294.7926734380884,14.9
1980.0000001740043,-36600.69409829167,10835.280663279213,-25765.41343501246,288.3633975238314,14.9
1990.0000001760416,-36939.01590665492,10845.01952789485,-26093.996378760065,289.9401457694618,14.9
2000.0000001780788,-36699.68349886389,11267.927918702111,-25431.75558016178,301.0487695667519,14.9
2010.000000180116,-36626.027542994285,11302.01020589197,-25324.017337102316,302.09628503775224,14.9
2020.0000001821534,-36437.30146634383,11170.755855126648,-25266.54561121718,299.83550554467763,14.9
2030.0000001841906,-36279.35816165756,11179.714627640486,-25099.643534017076,298.4452872228539,14.9
2040.000000186228,-36385.80033474742,11229.038869231063,-25156.76146551636,299.7874509848631,14.9
