#"Step",  "Time (ps)",  "Potential Energy (kJ/mole)",  "Kinetic Energy (kJ/mole)",  "Total Energy (kJ/mole)",  "Temperature (K)",  "Speed (ns/day)"
1280000,  639.999999988322,  -34564.64130308446,  11121.675473774558,  -23442.965829309906,  297.8736062779454,  158
1290000,  644.9999999882037,  -34623.956929725806,  10996.721390654153,  -23627.235539071655,  293.74223532687256,  158
1300000,  649.9999999880855,  -34798.29789421144,  10866.962508544293,  -23931.33538566715,  290.4940732157168,  158
1310000,  654.9999999879673,  -34561.003669333644,  11139.171007196197,  -23421.832662137447,  298.69012253144564,  158
1320000,  659.999999987849,  -34541.38692674783,  10989.942723085585,  -23551.444203662242,  294.4753861667075,  158
1330000,  664.9999999877308,  -34560.09114126013,  11440.208734711845,  -23119.882406548284,  305.1937393794501,  158
1340000,  669.9999999876126,  -34643.93711398116,  11015.022847678598,  -23628.914266302563,  295.2696729986671,  158
1350000,  674.9999999874943,  -34768.65366818753,  11005.730964154627,  -23762.922704032902,  293.70462941269534,  158
1360000,  679.9999999873761,  -34616.06583190743,  10901.237446110244,  -23714.828385797184,  292.19618535363344,  158
1370000,  684.9999999872579,  -34808.11938336113,  11056.546232340103,  -23751.57315102103,  296.1713500454065,  158
1380000,  689.9999999871396,  -34499.5179172801,  10813.05303482081,  -23686.464882459288,  288.6361907603838,  158
1390000,  694.9999999870214,  -34436.894954594994,  11209.80327564824,  -23227.091678946752,  298.4942125093177,  158
1400000,  699.9999999869032,  -34890.5013904026,  10948.871423983832,  -23941.629966418768,  293.77003411564476,  158
1410000,  704.9999999867849,  -34620.11818549368,  10894.035932647066,  -23726.082252846616,  290.70776003507837,  158
1420000,  709.9999999866667,  -34553.19376468415,  10939.316795860645,  -23613.876968823504,  292.287346218691,  158
1430000,  714.9999999865485,  -34575.77430917432,  11163.721839548947,  -23412.05246962537,  298.76230013209045,  158
1440000,  719.9999999864302,  -34885.70119465013,  11277.032366717245,  -23608.668827932885,  300.6760820347709,  158
1450000,  724.999999986312,  -34652.84992466272,  11071.124275296252,  -23581.725649366468,  296.0196625598438,  158
1460000,  729.9999999861938,  -34833.677274355,  11298.274070018837,  -23535.403204336166,  302.1275839910482,  158
1470000,  734.9999999860755,  -34776.45913777669,  10975.288469902664,  -23801.17066787403,  293.3718638908165,  158
1480000,  739.9999999859573,  -34766.623267741066,  11063.77052586062,  -23702.852741880444,  295.20423833406807,  158
1490000,  744.999999985839,  -34516.146231926105,  11145.031410224907,  -23371.114821701198,  297.69435645732784,  158
1500000,  749.9999999857208,  -34388.14815700983,  10789.798375377415,  -23598.349781632416,  287.9090869189994,  158
1510000,  754.9999999856026,  -34617.129163284255,  11241.21337603035,  -23375.915787253907,  300.7998024715707,  158
1520000,  759.9999999854844,  -33795.04500716643,  11145.586201501852,  -22649.45880566458,  299.1136976015414,  158
1530000,  764.9999999853661,  -34309.55762903558,  11188.086377216123,  -23121.471251819457,  299.8777654987794,  158
1540000,  769.9999999852479,  -34341.392151942615,  11049.777097783053,  -23291.615054159563,  295.90326386619057,  158
1550000,  774.9999999851296,  -34683.68274872941,  11106.632884340135,  -23577.04986438927,  297.0135239103516,  158
