#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1800.0000001373335,-36817.825218103826,11102.717476058735,-25715.10774204509,296.28720049835147,14.8
1810.0000001393707,-36843.872748278656,11076.161863303994,-25767.710884974662,295.8856094920489,14.8
1820.000000141408,-36568.766958476255,11232.92166812171,-25335.845290354548,300.4765277543544,14.8
1830.0000001434453,-36922.370926430216,11205.9183548867,-25716.452571543516,298.25771294168635,14.8
1840.0000001454825,-36300.727849163566,11145.681462533415,-25155.04638663015,298.6757424070401,14.8
1850.0000001475198,-37085.41842584983,11429.664043336503,-25655.754382513325,305.17989243657894,14.8
1860.000000149557,-36536.1834074418,10876.620384617318,-25659.563022824485,290.6614029743327,14.8
1870.0000001515943,-37020.259664362486,10988.840638971495,-26031.41902539099,292.99590857880395,14.8
1880.0000001536316,-37017.58287196909,11203.41278683465,-25814.170085134443,298.8550373305943,14.8
1890.0000001556689,-36463.20207077646,11026.869190397621,-25436.33288037884,294.8400114797412,14.8
1900.0000001577062,-36850.62989187942,11048.237966049403,-25802.391925830016,293.3032084357743,14.8
1910.0000001597434,-37168.74032400471,11206.034386841016,-25962.705937163697,298.87768123365,14.8
1920.0000001617807,-36968.922423776414,10673.217338257213,-26295.7050855192,285.66938718518793,14.8
1930.000000163818,-36898.61841251495,11227.098910733323,-25671.51950178163,299.9668055447139,14.8
1940.0000001658552,-36857.34837901231,11084.726554114897,-25772.62182489741,295.50030855441,14.8
1950.0000001678925,-36682.76674882184,10750.105068400442,-25932.6616804214,286.72923334154206,14.8
1960.0000001699298,-36809.21152873118,11100.985567085034,-25708.22596164615,295.66353964934876,14.8
1970.000000171967,-36635.54477299923,11109.028779050195,-25526.515993949033,297.36874863074115,14.8
1980.0000001740043,-36616.20797388657,11183.052678121521,-25433.15529576505,297.6637684720225,14.8
1990.0000001760416,-37028.01589264081,11049.371350593034,-25978.644542047776,294.72260114119433,14.8
2000.0000001780788,-36913.32239528284,11128.707577903113,-25784.614817379726,297.4875863580252,14.8
2010.000000180116,-36996.97174771904,11098.304612596356,-25898.667135122687,296.1791564996775,14.8
2020.0000001821534,-36467.70627087604,11168.130266656222,-25299.57600421982,297.43691491716595,14.8
2030.0000001841906,-36665.92800260093,11287.521195938407,-25378.406806662522,301.1255425193147,14.8
2040.000000186228,-36887.7000895585,11055.274664887354,-25832.425424671146,294.92973600733916,14.8
2050.000000188265,-37211.30059250848,11179.801122343075,-26031.499470165407,297.8740472373832,14.8
2060.000000190302,-36396.89006067364,10903.038650806506,-25493.851409867137,291.83714579071005,14.8
2070.0000001923395,-36786.19363204055,11006.160855998376,-25780.032776042175,293.6808897213794,14.8
2080.0000001943768,-36960.734806988236,10903.961741219022,-26056.773065769215,291.7127852801273,14.8
2090.000000196414,-36849.72552444151,11366.181378031426,-25483.54414641008,302.9998398566138,14.8
2100.0000001984513,-36608.768992166464,11035.165381929392,-25573.60361023707,295.3672773401065,14.8
2110.0000002004886,-37180.03644451273,10930.412011104569,-26249.624433408157,291.4253038448242,14.9
2120.000000202526,-36309.72545097993,11169.154949825275,-25140.570501154656,298.0171283581459,14.9
2130.000000204563,-36550.70229157545,11049.784909749695,-25500.917381825755,295.5922211004884,14.9
2140.0000002066004,-36768.475199134395,11059.424219664577,-25709.050979469816,295.1568956656972,14.9
2150.0000002086376,-36478.51037099671,11369.319336735729,-25109.191034260977,303.25741161538326,14.9
2160.000000210675,-36480.46027505169,10970.14485441408,-25510.315420637613,293.0112848153022,14.9
2170.000000212712,-36394.89672018263,10976.047248612085,-25418.849471570546,294.34808584243166,14.9
2180.0000002147494,-36580.25460585814,10910.270161295539,-25669.984444562604,291.68742703776945,14.9
2190.0000002167867,-36999.661075260905,11068.818664053331,-25930.842411207574,295.9685181611606,14.9
2200.000000218824,-36843.98384295698,11238.16034302315,-25605.82349993383,299.946742664938,14.9
2210.0000002208612,-36394.73211312297,10865.960688232808,-25528.77142489016,290.7806342755376,14.9
2220.0000002228985,-36714.644118464355,11445.66734933037,-25268.976769133988,305.6499367338277,14.9
2230.000000224936,-37013.369895063224,11200.54437702969,-25812.825518033533,298.4728253424851,14.9
2240.000000226973,-36550.73339563109,11237.71230936336,-25313.02108626773,301.2665413627026,14.9
2250.0000002290103,-36608.141600310366,11106.551720156916,-25501.58988015345,296.981715674446,14.9
